Px 	Py 	Vx 	Vy 	Px_rmse 	Py_rmse 	Vx_rmse 	Vy_rmse 	NIS 	Yaw 	Yaw Rate 	SensorType
-0.532329	12.1599	-1.79728	-4.69682	0.0589169	0.0901556	0.475489	0.27766	3.71928	4.34692	0.295353	1
-0.608919	11.9413	-1.70421	-4.70252	0.0599121	0.0899819	0.475732	0.27706	3.71928	4.36471	0.300414	0
-0.742892	11.7135	-1.78409	-4.68526	0.0606068	0.0898188	0.475457	0.276448	2.62145	4.34855	0.248963	1
-0.948644	11.4718	-2.03681	-4.67871	0.0605753	0.0896442	0.474474	0.27584	2.62145	4.3018	0.163615	0
-1.06324	11.2458	-2.08491	-4.61782	0.0605166	0.0894869	0.473438	0.275311	2.32434	4.28829	0.110899	1
-1.24276	11.0212	-2.25778	-4.58918	0.060415	0.0893566	0.47254	0.274875	2.32434	4.25518	0.0573815	0
-1.31232	10.7721	-2.05891	-4.71816	0.0602844	0.0892006	0.471512	0.274285	2.016	4.30092	0.14738	1
-1.44026	10.5193	-2.08512	-4.75076	0.0601702	0.0890222	0.470509	0.273693	2.016	4.2988	0.134489	0
-1.5236	10.2547	-1.94315	-4.86244	0.0600411	0.0888302	0.469505	0.273153	1.69839	4.33221	0.192564	1
-1.61894	10.0452	-1.90558	-4.83333	0.0599121	0.0886593	0.468511	0.272577	1.69839	4.33684	0.186356	0
-1.70891	9.81482	-1.86695	-4.82045	0.0597855	0.0885054	0.46753	0.271995	0.493985	4.34288	0.175833	1
-1.77964	9.59511	-1.77584	-4.8093	0.0596942	0.088402	0.466615	0.271417	0.493985	4.35867	0.185839	0
-1.88877	9.34205	-1.74482	-4.88162	0.0595786	0.0882692	0.465715	0.27086	2.48127	4.36911	0.204223	1
-1.96681	9.04925	-1.6588	-4.96801	0.0594918	0.088083	0.464919	0.270408	2.48127	4.39013	0.218154	0
-2.05495	8.82661	-1.66868	-4.91067	0.0594167	0.0879044	0.464076	0.269865	1.83147	4.38482	0.17932	1
-2.14969	8.57464	-1.65527	-4.93364	0.0593341	0.0877216	0.463229	0.26934	1.83147	4.38868	0.172002	0
-2.28131	8.31974	-1.74474	-4.95257	0.0592119	0.0875391	0.462279	0.26883	2.65873	4.37367	0.137895	1
-2.32283	8.08692	-1.59641	-4.94762	0.0591498	0.0873583	0.461483	0.268309	2.65873	4.40027	0.165648	0
-2.38541	7.87418	-1.53707	-4.89921	0.0591895	0.0872119	0.460777	0.267756	5.52947	4.40838	0.159667	1
-2.50008	7.62274	-1.59646	-4.91948	0.0591281	0.0870548	0.459946	0.267211	5.52947	4.39859	0.134985	0
-2.6719	7.387	-1.87888	-4.8401	0.0590694	0.0869135	0.45908	0.266686	5.06349	4.34211	0.0166737	1
-2.77629	7.13217	-1.90016	-4.85851	0.059072	0.0867569	0.458259	0.266154	5.06349	4.33958	0.0119544	0
